,user_id,plan,start_date,end_date,status
S96,U12074,Standard,11/29/2020,11/24/2021,Cancelled
S97,U13092,Standard,11/24/2022,,Active
S98,U28428,Basic,12/3/2024,,Active
S99,U48204,Standard,7/12/2022,10/16/2025,Expired
S100,U9498,Premium,12/3/2022,12/12/2025,Cancelled
S101,U21624,Standard,6/19/2022,10/18/2023,Cancelled
S102,U11736,Standard,4/8/2023,,Active
S103,U3225,Standard,6/30/2020,,Active
S104,U45469,Basic,1/7/2026,,Active
S105,U19905,Standard,1/31/2023,11/30/2024,Cancelled
S106,U8144,Standard,12/10/2025,1/6/2026,Cancelled
S107,U5754,Standard,12/6/2025,12/14/2025,Cancelled
S108,U20722,Basic,9/9/2023,,Active
S109,U12838,Basic,11/21/2021,1/9/2024,Cancelled
S110,U14985,Premium,2/15/2020,7/19/2022,Expired
S111,U1757,Basic,6/20/2022,8/18/2025,Cancelled
S112,U27802,Basic,5/10/2025,1/7/2026,Expired
S113,U20407,Basic,2/13/2020,10/20/2021,Expired
S114,U49830,Basic,11/29/2021,,Active
S115,U44204,Basic,10/10/2020,11/24/2022,Expired
S116,U46751,Premium,6/15/2020,5/14/2024,Cancelled
S117,U39310,Standard,8/31/2020,,Active
S118,U17414,Standard,8/3/2020,,Active
S119,U1802,Basic,8/26/2020,,Active
S120,U25261,Premium,11/11/2020,,Active
S121,U34964,Standard,8/1/2024,,Active
S122,U36152,Basic,1/22/2023,9/24/2023,Cancelled
S123,U20415,Standard,7/30/2022,,Active
S124,U7434,Premium,12/12/2025,,Active
S125,U24542,Premium,9/5/2021,11/23/2023,Cancelled
S126,U14968,Standard,7/18/2025,11/7/2025,Cancelled
S127,U35337,Premium,11/27/2024,,Active
S128,U44883,Standard,9/4/2020,,Active
S129,U16557,Basic,6/23/2022,5/1/2023,Cancelled
S130,U32731,Standard,3/18/2020,10/13/2021,Expired
S131,U4741,Standard,2/27/2022,9/28/2024,Cancelled
S132,U22031,Standard,11/29/2025,12/31/2025,Cancelled
S133,U47304,Basic,10/24/2025,,Active
S134,U36391,Standard,9/16/2022,11/1/2022,Cancelled
S135,U24853,Basic,9/11/2021,7/27/2024,Cancelled
S136,U9352,Standard,4/17/2025,10/21/2025,Cancelled
S137,U6612,Standard,9/13/2023,10/24/2025,Cancelled
S138,U31238,Basic,3/14/2023,4/6/2023,Cancelled
S139,U40620,Standard,6/5/2024,,Active
S140,U105,Standard,7/21/2024,,Active
S141,U30675,Basic,8/24/2025,9/23/2025,Cancelled
S142,U24880,Premium,3/21/2021,1/10/2023,Cancelled
S143,U16101,Basic,10/31/2023,11/22/2025,Cancelled
S144,U4506,Premium,8/11/2024,8/16/2024,Expired
S145,U5679,Basic,6/6/2022,,Active
S146,U1597,Premium,12/18/2024,,Active
S147,U48960,Premium,11/27/2022,,Active
S148,U36230,Standard,10/23/2025,,Active
S149,U29438,Standard,1/17/2021,12/2/2021,Expired
S150,U8483,Basic,1/15/2023,8/5/2024,Expired
S151,U41309,Basic,2/17/2023,,Active
S152,U9354,Standard,3/21/2020,1/18/2025,Cancelled
S153,U7642,Standard,8/24/2024,4/2/2025,Cancelled
S154,U11010,Basic,7/29/2022,11/11/2024,Cancelled
S155,U29317,Standard,1/20/2020,12/14/2024,Cancelled
S156,U32475,Premium,6/16/2023,2/24/2024,Cancelled
S157,U4291,Standard,9/20/2022,2/15/2024,Cancelled
S158,U43805,Basic,8/6/2022,5/12/2024,Expired
S159,U25706,Standard,5/1/2025,12/17/2025,Cancelled
S160,U10633,Premium,10/27/2024,10/27/2025,Cancelled
S161,U6326,Basic,9/11/2022,3/16/2024,Cancelled
S162,U2085,Premium,3/30/2021,,Active
S163,U29017,Premium,8/26/2020,1/13/2021,Expired
S164,U34417,Standard,2/2/2023,,Active
S165,U33819,Premium,4/9/2023,,Active
S166,U5127,Basic,3/9/2022,12/2/2025,Expired
S167,U38831,Basic,1/16/2024,7/14/2024,Expired
S168,U47174,Standard,9/22/2023,1/30/2025,Cancelled
S169,U12948,Standard,11/22/2022,12/27/2025,Cancelled
S170,U12725,Standard,11/13/2022,,Active
S171,U3925,Standard,10/15/2024,,Active
S172,U31238,Basic,5/6/2025,,Active
S173,U31812,Standard,4/27/2025,7/18/2025,Cancelled
S174,U9218,Basic,1/16/2020,4/19/2020,Cancelled
S175,U20894,Standard,3/4/2022,,Active
S176,U20903,Standard,8/28/2023,12/22/2023,Expired
S177,U37794,Standard,1/16/2025,2/13/2025,Cancelled
S178,U16667,Premium,1/21/2024,2/27/2025,Cancelled
S179,U39165,Basic,7/28/2024,10/29/2025,Expired
S180,U38131,Standard,5/20/2022,5/17/2023,Cancelled
S181,U4357,Basic,11/20/2024,11/21/2024,Cancelled
S182,U40228,Basic,8/30/2024,,Active
S183,U36756,Basic,5/22/2022,8/8/2022,Cancelled
S184,U24962,Standard,7/28/2024,6/23/2025,Cancelled
S185,U32641,Standard,3/25/2023,,Active
S186,U23523,Standard,7/23/2022,,Active
S187,U3239,Basic,1/18/2023,6/21/2024,Expired
S188,U25705,Premium,12/29/2025,1/7/2026,Cancelled
S189,U9000,Premium,3/14/2022,,Active
S190,U17827,Premium,1/15/2020,4/23/2020,Cancelled
S191,U16808,Basic,3/12/2025,11/20/2025,Cancelled
S192,U8525,Standard,5/24/2021,5/25/2022,Cancelled
S193,U47188,Premium,11/24/2024,4/5/2025,Cancelled
S194,U17590,Basic,9/12/2022,,Active
S195,U5080,Basic,3/3/2025,,Active
S196,U32955,Basic,11/10/2024,,Active
S197,U3885,Standard,12/10/2021,6/20/2025,Expired
S198,U44188,Premium,3/17/2024,2/14/2025,Cancelled
S199,U5139,Standard,4/14/2022,7/11/2024,Cancelled
S200,U46876,Premium,7/13/2023,,Active
S201,U28043,Basic,10/25/2023,,Active
S202,U42189,Standard,1/9/2020,2/2/2024,Expired
S203,U48053,Basic,7/24/2021,,Active
S204,U36348,Basic,8/25/2025,,Active
S205,U7158,Basic,7/26/2024,9/14/2024,Cancelled
S206,U4956,Premium,1/3/2026,1/3/2026,Expired
S207,U4088,Basic,12/18/2020,12/8/2021,Cancelled
S208,U12148,Standard,10/23/2023,1/16/2024,Expired
S209,U24722,Basic,8/14/2020,3/19/2021,Cancelled
S210,U14573,Standard,5/26/2022,8/6/2025,Expired
S211,U22359,Basic,8/3/2024,7/8/2025,Cancelled
S212,U49248,Basic,6/11/2020,5/18/2024,Cancelled
S213,U14479,Standard,7/5/2020,5/2/2021,Expired
S214,U38016,Standard,6/30/2020,9/22/2021,Cancelled
S215,U40855,Basic,7/3/2022,9/2/2022,Cancelled
S216,U24170,Standard,9/15/2020,7/16/2021,Cancelled
S217,U49758,Premium,5/28/2021,1/8/2026,Cancelled
S218,U20679,Basic,8/3/2021,,Active
S219,U39558,Standard,3/6/2023,9/13/2024,Cancelled
S220,U25719,Standard,11/10/2020,5/3/2023,Cancelled
S221,U44351,Basic,6/7/2023,4/8/2024,Cancelled
S222,U4466,Premium,7/17/2024,,Active
S223,U33160,Premium,11/13/2024,1/13/2026,Cancelled
S224,U28345,Standard,12/5/2024,,Active
S225,U35699,Standard,7/8/2020,12/16/2022,Cancelled
S226,U46625,Basic,7/20/2023,,Active
S227,U44454,Standard,7/28/2022,,Active
S228,U20655,Premium,5/28/2021,12/19/2021,Expired
S229,U46194,Premium,5/3/2021,,Active
S230,U3563,Standard,6/23/2024,,Active
S231,U30164,Basic,10/16/2020,,Active
S232,U23901,Standard,5/30/2022,9/29/2024,Cancelled
S233,U26104,Basic,8/10/2023,10/13/2023,Cancelled
S234,U26691,Premium,8/15/2023,,Active
S235,U16076,Standard,3/20/2020,10/16/2021,Cancelled
S236,U11357,Basic,4/22/2025,,Active
S237,U4357,Basic,10/17/2021,11/12/2021,Cancelled
S238,U5744,Premium,9/13/2021,,Active
S239,U7997,Basic,5/7/2020,,Active
S240,U10419,Standard,12/13/2021,8/17/2025,Cancelled
S241,U3835,Premium,11/21/2025,12/26/2025,Cancelled
S242,U27927,Basic,3/19/2020,,Active
S243,U37178,Basic,12/16/2023,11/20/2024,Cancelled
S244,U17534,Standard,1/31/2025,8/15/2025,Expired
S245,U6702,Basic,7/3/2020,,Active
S246,U3755,Basic,2/8/2025,,Active
S247,U38855,Standard,7/14/2021,,Active
S248,U31127,Premium,6/28/2025,9/8/2025,Expired
S249,U651,Basic,1/8/2024,3/2/2024,Cancelled
S250,U41177,Basic,8/29/2024,,Active
S251,U753,Standard,8/20/2024,8/31/2025,Cancelled
S252,U31106,Standard,3/7/2023,6/5/2023,Cancelled
S253,U24176,Premium,2/27/2023,3/22/2023,Cancelled
S254,U28101,Standard,8/30/2023,2/25/2024,Expired
S255,U24289,Basic,12/31/2023,9/14/2025,Cancelled
S256,U27249,Standard,2/17/2024,11/19/2024,Cancelled
S257,U996,Basic,5/18/2022,6/25/2025,Cancelled
S258,U25936,Premium,7/16/2023,11/24/2023,Expired
S259,U47077,Basic,12/31/2025,1/7/2026,Cancelled
S260,U772,Premium,6/22/2024,8/12/2024,Cancelled
S261,U45683,Basic,12/19/2020,3/5/2022,Cancelled
S262,U36587,Basic,2/28/2021,8/3/2021,Cancelled
S263,U38147,Standard,9/8/2024,1/3/2026,Expired
S264,U36640,Basic,4/26/2022,,Active
S265,U18626,Basic,9/20/2023,,Active
S266,U17591,Standard,6/25/2022,,Active
S267,U13602,Standard,10/18/2023,10/1/2024,Expired
S268,U35514,Basic,7/25/2021,8/22/2023,Expired
S269,U45598,Standard,10/16/2022,,Active
S270,U21776,Premium,1/26/2024,6/11/2024,Cancelled
S271,U22376,Standard,12/22/2025,1/1/2026,Expired
S272,U23686,Basic,2/11/2023,6/16/2023,Cancelled
S273,U37811,Premium,5/5/2020,10/8/2025,Expired
S274,U19993,Basic,10/26/2024,12/29/2025,Cancelled
S275,U22100,Basic,10/18/2023,7/13/2025,Cancelled
S276,U29096,Premium,1/21/2024,,Active
S277,U14932,Basic,1/25/2023,11/12/2024,Cancelled
S278,U18225,Standard,3/15/2025,3/17/2025,Cancelled
S279,U20990,Standard,10/17/2020,,Active
S280,U10346,Premium,11/1/2024,,Active
S281,U12210,Standard,5/17/2022,3/14/2025,Cancelled
S282,U26434,Premium,7/1/2021,,Active
S283,U30949,Basic,9/23/2023,8/4/2024,Cancelled
S284,U12565,Basic,9/24/2022,3/10/2024,Expired
S285,U29885,Basic,7/17/2020,8/29/2022,Expired
S286,U2654,Basic,11/15/2021,,Active
S287,U36177,Standard,12/24/2024,,Active
S288,U44222,Basic,1/7/2020,,Active
S289,U16833,Standard,2/21/2023,,Active
S290,U10770,Premium,6/19/2025,,Active
S291,U21649,Premium,9/27/2023,10/8/2023,Cancelled
S292,U314,Standard,3/20/2021,3/23/2024,Cancelled
S293,U24362,Basic,12/11/2022,,Active
S294,U49053,Basic,1/1/2021,3/19/2022,Cancelled
S295,U44152,Basic,9/2/2020,,Active
S296,U41592,Standard,5/18/2025,,Active
S297,U20035,Premium,5/8/2024,11/19/2024,Cancelled
S298,U7611,Standard,7/26/2024,10/28/2025,Expired
S299,U39189,Standard,10/9/2023,,Active
S300,U15050,Basic,5/29/2021,9/13/2025,Cancelled
S301,U32764,Basic,5/19/2023,12/29/2023,Cancelled
S302,U47331,Basic,10/2/2020,,Active
S303,U33115,Premium,1/18/2025,,Active
S304,U42642,Basic,9/10/2021,12/8/2023,Cancelled
S305,U35838,Premium,7/3/2024,7/25/2024,Cancelled
S306,U4991,Standard,3/31/2021,9/23/2022,Cancelled
S307,U14235,Standard,6/10/2021,3/7/2025,Cancelled
S308,U5707,Basic,4/23/2022,9/13/2025,Cancelled
S309,U47412,Basic,4/8/2020,,Active
S310,U4578,Basic,2/20/2025,,Active
S311,U48958,Basic,4/24/2025,,Active
S312,U1498,Basic,12/13/2021,,Active
S313,U35767,Standard,12/21/2020,1/26/2025,Cancelled
S314,U34884,Premium,5/3/2022,6/14/2025,Cancelled
S315,U16838,Standard,5/11/2020,,Active
S316,U15574,Standard,7/29/2025,,Active
S317,U43651,Premium,11/20/2022,1/12/2025,Cancelled
S318,U22540,Premium,1/27/2025,5/22/2025,Cancelled
S319,U24067,Standard,12/1/2022,4/17/2023,Cancelled
S320,U37501,Basic,9/5/2025,10/22/2025,Cancelled
S321,U17153,Standard,5/31/2024,,Active
S322,U28146,Basic,2/24/2023,,Active
S323,U30779,Premium,11/10/2023,8/9/2025,Expired
S324,U36976,Premium,4/1/2020,3/22/2021,Cancelled
S325,U40563,Standard,12/5/2021,7/9/2024,Cancelled
S326,U5478,Premium,6/15/2020,7/10/2023,Cancelled
S327,U44645,Premium,10/6/2020,6/22/2022,Cancelled
S328,U44587,Standard,11/7/2024,3/21/2025,Cancelled
S329,U32104,Premium,9/18/2020,2/26/2024,Expired
S330,U48569,Standard,6/12/2024,11/5/2025,Cancelled
S331,U45469,Basic,9/21/2025,11/18/2025,Cancelled
S332,U34111,Basic,8/16/2020,,Active
S333,U26268,Standard,11/18/2023,4/10/2024,Expired
S334,U1945,Basic,4/28/2024,,Active
S335,U9763,Standard,8/7/2022,8/17/2024,Cancelled
S336,U48665,Basic,11/2/2022,7/2/2023,Cancelled
S337,U25443,Standard,6/10/2023,1/5/2024,Expired
S338,U7218,Basic,3/18/2020,,Active
S339,U7821,Standard,4/11/2025,12/26/2025,Cancelled
S340,U34870,Standard,7/26/2023,3/30/2024,Expired
S341,U29583,Premium,6/13/2022,3/13/2025,Cancelled
S342,U9486,Standard,9/26/2024,,Active
S343,U34533,Basic,12/26/2025,1/1/2026,Cancelled
S344,U5701,Basic,7/1/2025,,Active
S345,U48625,Basic,7/12/2020,,Active
S346,U9178,Premium,2/27/2024,1/15/2026,Expired
S347,U41574,Premium,10/24/2020,2/19/2025,Cancelled
S348,U47245,Premium,1/1/2022,8/18/2023,Expired
S349,U37545,Premium,4/12/2021,12/31/2022,Cancelled
S350,U24244,Premium,10/16/2021,,Active
S351,U3682,Basic,8/8/2023,,Active
S352,U14807,Basic,7/15/2025,10/5/2025,Cancelled
S353,U36811,Basic,7/28/2022,1/11/2026,Cancelled
S354,U49951,Basic,9/1/2022,,Active
S355,U40124,Basic,2/21/2022,,Active
S356,U17150,Premium,2/9/2021,6/17/2024,Expired
S357,U30321,Standard,12/21/2024,10/16/2025,Cancelled
S358,U29904,Basic,10/22/2021,,Active
S359,U408,Standard,10/16/2024,12/17/2024,Cancelled
S360,U49904,Basic,7/10/2021,5/13/2023,Cancelled
S361,U10098,Basic,12/24/2020,,Active
S362,U1903,Standard,6/16/2024,12/2/2024,Cancelled
S363,U39539,Standard,2/4/2021,10/30/2025,Cancelled
S364,U1030,Basic,1/9/2022,5/11/2022,Expired
S365,U18745,Standard,9/23/2024,,Active
S366,U20228,Basic,12/11/2021,,Active
S367,U36337,Basic,12/31/2021,2/3/2023,Cancelled
S368,U15467,Standard,11/28/2023,,Active
S369,U31604,Standard,9/21/2023,6/5/2024,Expired
S370,U34266,Premium,5/7/2022,9/20/2022,Cancelled
S371,U14186,Premium,11/30/2020,,Active
S372,U42862,Basic,9/17/2021,,Active
S373,U31810,Standard,5/29/2022,10/6/2024,Cancelled
S374,U7041,Standard,7/1/2024,4/27/2025,Cancelled
S375,U21245,Basic,1/28/2025,2/17/2025,Cancelled
S376,U28167,Premium,10/29/2023,7/31/2024,Expired
S377,U46000,Standard,9/21/2021,9/22/2022,Cancelled
S378,U11527,Basic,11/21/2022,7/19/2025,Expired
S379,U33242,Premium,11/3/2021,,Active
S380,U2320,Basic,12/27/2023,,Active
S381,U36940,Standard,6/26/2025,1/6/2026,Cancelled
S382,U29783,Standard,7/7/2022,,Active
S383,U22084,Basic,12/30/2025,1/5/2026,Cancelled
S384,U2252,Standard,5/21/2021,,Active
S385,U15283,Basic,6/28/2023,,Active
S386,U25938,Premium,1/11/2024,,Active
S387,U44505,Basic,12/10/2025,,Active
S388,U18691,Basic,4/4/2024,,Active
S389,U41321,Premium,4/30/2024,7/4/2024,Expired
S390,U45818,Premium,7/10/2024,,Active
S391,U45740,Standard,8/31/2021,7/25/2024,Cancelled
S392,U9011,Basic,12/27/2020,8/31/2022,Cancelled
S393,U37120,Standard,10/17/2023,2/28/2024,Cancelled
S394,U26846,Basic,8/23/2025,12/19/2025,Cancelled
S395,U19950,Basic,6/6/2024,12/18/2024,Cancelled
S396,U24063,Premium,6/17/2022,3/23/2024,Cancelled
S397,U16546,Standard,5/10/2020,9/18/2023,Cancelled
S398,U4222,Standard,9/30/2023,,Active
S399,U5483,Standard,6/27/2020,8/24/2025,Cancelled
S400,U29918,Standard,1/3/2022,,Active
S401,U38383,Standard,6/21/2023,,Active
S402,U38278,Standard,9/20/2021,8/3/2022,Cancelled
S403,U49970,Standard,4/4/2022,1/30/2025,Cancelled
S404,U26719,Basic,10/29/2024,12/25/2025,Cancelled
S405,U41954,Standard,7/31/2024,10/16/2024,Cancelled
S406,U42816,Standard,7/17/2025,,Active
S407,U16900,Premium,12/12/2022,12/17/2025,Expired
S408,U43755,Standard,8/16/2022,8/29/2024,Cancelled
S409,U20153,Standard,11/15/2024,,Active
S410,U7627,Premium,12/20/2021,5/15/2025,Expired
S411,U29046,Standard,11/28/2025,1/11/2026,Cancelled
S412,U21515,Basic,6/25/2025,,Active
S413,U32711,Standard,4/4/2024,8/30/2024,Cancelled
S414,U32868,Standard,8/5/2022,12/14/2024,Cancelled
S415,U35158,Standard,5/26/2025,10/23/2025,Cancelled
S416,U26419,Standard,2/2/2025,2/9/2025,Expired
S417,U36472,Standard,7/4/2020,,Active
S418,U33716,Standard,7/7/2021,3/3/2023,Cancelled
S419,U4387,Basic,5/9/2023,,Active
S420,U28765,Standard,9/19/2021,8/12/2024,Expired
S421,U9837,Standard,1/19/2021,3/25/2022,Expired
S422,U39406,Basic,7/20/2023,8/2/2024,Cancelled
S423,U3716,Standard,11/6/2021,12/13/2022,Cancelled
S424,U37420,Premium,10/21/2020,,Active
S425,U22293,Basic,9/19/2022,,Active
S426,U23143,Standard,10/18/2024,,Active
S427,U37409,Basic,4/25/2020,,Active
S428,U36542,Basic,4/27/2021,,Active
S429,U23835,Standard,1/10/2022,,Active
S430,U17950,Standard,1/18/2022,5/14/2022,Cancelled
S431,U29821,Basic,8/13/2023,,Active
S432,U20845,Basic,10/17/2021,,Active
S433,U49825,Premium,5/11/2024,4/26/2025,Cancelled
S434,U19743,Basic,4/4/2022,,Active
S435,U12643,Basic,2/14/2024,,Active
S436,U46531,Premium,9/7/2020,12/19/2021,Cancelled
S437,U16677,Basic,4/16/2023,9/22/2024,Expired
S438,U38524,Standard,5/17/2025,1/1/2026,Cancelled
S439,U18443,Basic,5/17/2021,4/6/2025,Expired
S440,U33929,Standard,7/16/2024,12/13/2024,Cancelled
S441,U14533,Premium,1/17/2022,8/10/2023,Expired
S442,U22213,Standard,8/11/2024,4/10/2025,Expired
S443,U29673,Basic,7/26/2023,4/6/2025,Cancelled
S444,U29443,Standard,7/26/2025,11/11/2025,Cancelled
S445,U3910,Basic,5/24/2024,5/6/2025,Cancelled
S446,U17754,Premium,8/10/2020,11/13/2021,Cancelled
S447,U35068,Basic,12/31/2023,1/23/2025,Cancelled
S448,U49300,Standard,4/5/2022,10/30/2024,Cancelled
S449,U11748,Standard,7/21/2020,5/17/2023,Cancelled
S450,U42614,Premium,11/1/2024,10/16/2025,Cancelled
S451,U2840,Basic,2/12/2023,2/15/2025,Expired
S452,U19543,Basic,3/22/2022,11/14/2023,Cancelled
S453,U35083,Basic,2/24/2023,12/21/2023,Cancelled
S454,U19467,Standard,11/12/2022,,Active
S455,U17161,Basic,9/3/2021,,Active
S456,U22921,Standard,11/10/2021,,Active
S457,U3492,Premium,6/7/2025,12/7/2025,Cancelled
S458,U47662,Basic,5/23/2025,12/25/2025,Cancelled
S459,U23297,Basic,5/21/2022,7/1/2023,Cancelled
S460,U10684,Premium,12/7/2025,1/2/2026,Cancelled
S461,U41443,Basic,5/1/2020,10/16/2024,Cancelled
S462,U5748,Standard,5/15/2024,,Active
S463,U28913,Basic,2/14/2021,7/12/2024,Cancelled
S464,U6961,Standard,3/24/2021,9/30/2023,Expired
S465,U26773,Basic,8/14/2024,9/6/2024,Cancelled
S466,U43977,Standard,1/25/2020,6/3/2024,Cancelled
S467,U49206,Premium,8/3/2025,,Active
S468,U5262,Basic,12/13/2020,7/4/2022,Cancelled
S469,U29230,Basic,7/19/2020,2/26/2021,Expired
S470,U18556,Basic,12/7/2020,5/28/2023,Cancelled
S471,U48410,Standard,4/2/2025,5/10/2025,Cancelled
S472,U29197,Premium,11/8/2024,4/24/2025,Expired
S473,U5425,Premium,9/12/2022,12/21/2022,Cancelled
S474,U9057,Basic,5/12/2023,10/14/2024,Cancelled
S475,U35345,Standard,4/9/2020,5/31/2022,Cancelled
S476,U11904,Premium,6/4/2022,10/3/2025,Expired
S477,U44314,Premium,8/14/2024,4/26/2025,Cancelled
S478,U359,Standard,9/16/2022,11/7/2024,Cancelled
S479,U22047,Basic,12/28/2020,9/19/2025,Cancelled
S480,U17088,Standard,1/3/2023,6/24/2024,Cancelled
S481,U11781,Standard,7/20/2020,,Active
S482,U13686,Standard,3/4/2025,,Active
S483,U35333,Standard,4/2/2020,,Active
S484,U4883,Basic,10/28/2021,,Active
S485,U13471,Standard,5/3/2024,12/24/2025,Expired
S486,U11247,Premium,4/25/2022,4/23/2024,Expired
S487,U26190,Basic,7/30/2024,,Active
S488,U21552,Basic,1/1/2024,2/12/2025,Cancelled
S489,U23754,Standard,1/1/2022,,Active
S490,U18446,Standard,1/14/2023,9/14/2024,Expired
S491,U14287,Standard,2/1/2022,10/6/2022,Cancelled
S492,U3746,Standard,4/21/2023,6/3/2025,Expired
S493,U9038,Basic,1/12/2024,4/30/2025,Cancelled
S494,U32443,Standard,7/31/2020,,Active
S495,U7904,Standard,1/25/2023,7/27/2025,Cancelled
S496,U32875,Premium,1/8/2020,6/29/2023,Expired
S497,U18056,Premium,5/22/2024,12/12/2024,Cancelled
S498,U48150,Premium,2/21/2022,6/10/2025,Expired
S499,U21639,Standard,10/28/2023,8/13/2025,Cancelled
S500,U23250,Standard,4/11/2020,,Active
S501,U46163,Premium,2/29/2020,1/25/2021,Cancelled
S502,U32624,Basic,5/13/2022,12/22/2024,Cancelled
S503,U44781,Premium,8/2/2023,,Active
S504,U31919,Standard,2/27/2022,,Active
S505,U31740,Premium,7/21/2024,3/13/2025,Cancelled
S506,U42273,Premium,11/6/2022,11/2/2025,Expired
S507,U31356,Basic,12/25/2022,7/18/2023,Expired
S508,U22054,Standard,5/11/2024,,Active
S509,U13627,Standard,12/13/2021,3/14/2023,Expired
S510,U11564,Premium,5/19/2023,,Active
S511,U30610,Standard,4/5/2021,12/26/2022,Cancelled
S512,U6772,Basic,5/12/2020,1/27/2025,Cancelled
S513,U35431,Basic,4/15/2024,3/13/2025,Cancelled
