log_id,user_id,content_id,genre,watch_time_m,date,completion_flag
L46,U13031,C100,Horror,134,2022-09-23,No
L47,U25795,C515,Drama,143,2021-05-13,Yes
L48,U39097,C25,Action,84,2023-01-26,No
L49,U28274,C76,Comedy,138,2021-03-07,Yes
L50,U6017,C838,Biography,84,2021-04-09,No
L51,U32750,C956,Sci-Fi,121,2021-01-02,Yes
L52,U44016,C971,Drama,153,2021-09-15,No
L53,U15588,C299,Horror,196,2020-10-02,Yes
L54,U18090,C14,Sci-Fi,160,2021-08-06,No
L55,U37921,C636,Drama,113,2019-05-29,Yes
L56,U2317,C76,Comedy,7,2019-02-27,No
L57,U47327,C730,Horror,24,2019-06-21,Yes
L58,U12837,C722,Comedy,166,2020-03-25,No
L59,U39513,C618,Biography,60,2019-12-02,Yes
L60,U11308,C1,Horror,213,2021-10-30,No
L61,U5163,C46,Action,207,2019-10-05,Yes
L62,U281,C929,Comedy,127,2022-12-04,No
L63,U19764,C237,Biography,185,2020-01-15,Yes
L64,U4789,C811,Horror,125,2020-04-06,No
L65,U34595,C995,Drama,84,2019-09-18,Yes
L66,U1637,C981,Horror,138,2020-01-19,No
L67,U15561,C367,Horror,12,2021-08-05,Yes
L68,U32102,C34,Action,162,2020-04-22,No
L69,U36722,C883,Sci-Fi,40,2021-12-17,Yes
L70,U22702,C1000,Action,61,2024-05-11,No
L71,U26743,C547,Action,113,2019-02-14,Yes
L72,U6697,C168,Horror,143,2023-01-29,No
L73,U36722,C797,Drama,109,2021-12-17,Yes
L74,U20227,C734,Biography,20,2019-02-02,No
L75,U45387,C255,Drama,197,2019-03-22,Yes
L76,U7367,C9,Drama,34,2019-06-23,No
L77,U4350,C56,Action,136,2019-03-11,Yes
L78,U18678,C465,Biography,146,2022-12-29,No
L79,U39465,C291,Horror,202,2020-04-02,Yes
L80,U45487,C331,Comedy,79,2019-03-18,No
L81,U40124,C715,Action,51,2020-08-20,Yes
L82,U34478,C276,Biography,36,2021-01-17,No
L83,U13329,C589,Action,9,2020-07-17,Yes
L84,U43232,C771,Biography,137,2022-06-11,No
L85,U43256,C672,Biography,78,2020-02-01,Yes
L86,U41024,C34,Action,232,2021-12-24,No
L87,U45678,C10,Drama,51,2023-02-24,Yes
L88,U1033,C25,Action,184,2023-01-26,No
L89,U43830,C850,Drama,93,2019-04-15,Yes
L90,U10579,C210,Action,192,2020-05-05,No
L91,U22892,C608,Drama,1,2024-06-28,Yes
L92,U17336,C785,Sci-Fi,85,2021-11-22,No
L93,U12260,C177,Comedy,237,2020-07-19,Yes
L94,U48444,C812,Action,135,2021-08-20,No
L95,U41915,C623,Comedy,199,2022-07-19,Yes
L96,U10097,C218,Biography,102,2020-12-12,No
L97,U3624,C591,Action,87,2022-08-04,Yes
L98,U40784,C484,Sci-Fi,88,2021-12-01,No
L99,U2236,C990,Comedy,239,2022-11-07,Yes
L100,U27394,C158,Sci-Fi,235,2019-07-20,No
L101,U3142,C109,Biography,42,2019-01-29,Yes
L102,U19884,C72,Comedy,212,2021-09-13,No
L103,U40937,C461,Biography,130,2019-03-29,Yes
L104,U24040,C591,Action,116,2020-12-20,No
L105,U11728,C70,Action,116,2024-06-01,Yes
L106,U9706,C790,Comedy,143,2022-05-02,No
L107,U38247,C530,Biography,50,2022-04-17,Yes
L108,U22148,C479,Horror,228,2022-05-08,No
L109,U47360,C18,Horror,198,2023-10-26,Yes
L110,U167,C438,Horror,68,2019-10-03,No
L111,U33639,C240,Biography,68,2019-07-05,Yes
L112,U16203,C427,Comedy,190,2019-07-05,No
L113,U38801,C344,Comedy,142,2022-06-19,Yes
L114,U10743,C993,Comedy,195,2021-12-17,No
L115,U44046,C588,Biography,137,2020-04-22,Yes
L116,U27428,C217,Horror,236,2023-02-08,No
L117,U3135,C722,Comedy,116,2020-04-16,Yes
L118,U42723,C304,Action,18,2022-06-21,No
L119,U16521,C699,Comedy,130,2020-10-08,Yes
L120,U7933,C776,Action,17,2019-04-02,No
L121,U27496,C576,Action,130,2022-01-03,Yes
L122,U34696,C547,Action,155,2020-08-23,No
L123,U27339,C155,Comedy,188,2021-09-10,Yes
L124,U42497,C695,Sci-Fi,214,2022-10-17,No
L125,U18425,C308,Comedy,131,2021-07-29,Yes
L126,U27739,C547,Action,185,2022-04-08,No
L127,U8381,C865,Horror,85,2020-01-11,Yes
L128,U44676,C49,Drama,235,2019-03-07,No
L129,U39345,C770,Action,175,2023-02-23,Yes
L130,U15150,C91,Drama,219,2021-11-13,No
L131,U39482,C637,Sci-Fi,35,2022-01-22,Yes
L132,U44382,C882,Horror,2,2021-05-10,No
L133,U27787,C536,Sci-Fi,159,2024-05-01,Yes
L134,U46546,C855,Biography,39,2021-07-17,No
L135,U42346,C193,Horror,114,2020-01-18,Yes
L136,U16095,C389,Sci-Fi,200,2019-12-15,No
L137,U19226,C823,Action,226,2021-07-13,Yes
L138,U27700,C649,Comedy,169,2022-03-19,No
L139,U47640,C700,Horror,25,2020-10-14,Yes
L140,U391,C520,Horror,9,2019-09-25,No
L141,U3630,C558,Comedy,156,2022-06-21,Yes
L142,U5562,C237,Biography,100,2022-05-06,No
L143,U31885,C19,Action,182,2022-12-30,Yes
L144,U26658,C481,Drama,52,2020-04-27,No
L145,U4164,C950,Horror,8,2021-11-08,Yes
L146,U2574,C150,Biography,193,2019-04-15,No
L147,U34933,C779,Drama,120,2020-09-12,Yes
L148,U1501,C325,Horror,171,2022-08-26,No
L149,U44886,C114,Comedy,152,2020-06-07,Yes
L150,U15621,C523,Drama,101,2020-11-17,No
L151,U21929,C82,Action,223,2020-09-26,Yes
L152,U35632,C658,Comedy,184,2022-03-05,No
L153,U15732,C752,Drama,57,2019-04-17,Yes
L154,U22735,C185,Comedy,215,2020-11-09,No
L155,U45945,C94,Comedy,234,2022-04-28,Yes
L156,U41828,C278,Biography,160,2019-08-23,No
L157,U48582,C607,Sci-Fi,68,2023-01-11,Yes
L158,U44996,C939,Sci-Fi,7,2023-07-24,No
L159,U48740,C59,Drama,53,2021-10-18,Yes
L160,U47939,C435,Biography,200,2019-09-06,No
L161,U37810,C466,Comedy,30,2022-06-07,Yes
L162,U42035,C215,Sci-Fi,53,2020-01-04,No
L163,U7478,C269,Drama,14,2021-06-07,Yes
L164,U31852,C258,Action,79,2024-06-06,No
L165,U22340,C729,Action,79,2022-12-11,Yes
L166,U26942,C50,Biography,220,2023-01-23,No
L167,U44649,C363,Biography,157,2022-09-14,Yes
L168,U49814,C860,Comedy,204,2021-11-26,No
L169,U43947,C194,Action,126,2021-02-10,Yes
L170,U20482,C651,Drama,171,2022-03-05,No
L171,U16936,C916,Action,196,2021-06-27,Yes
L172,U45616,C510,Drama,190,2023-07-31,No
L173,U8303,C539,Sci-Fi,179,2019-03-09,Yes
L174,U25080,C651,Drama,51,2022-10-12,No
L175,U36306,C649,Comedy,200,2022-03-19,Yes
L176,U45709,C301,Drama,133,2021-11-06,No
L177,U1104,C121,Sci-Fi,219,2021-08-10,Yes
L178,U36193,C510,Drama,165,2023-07-31,No
L179,U3226,C756,Action,43,2022-06-03,Yes
L180,U14579,C716,Comedy,239,2022-02-13,No
L181,U1502,C157,Comedy,75,2022-02-08,Yes
L182,U22443,C430,Horror,41,2020-08-06,No
L183,U47574,C774,Comedy,141,2019-06-04,Yes
L184,U15395,C544,Drama,109,2021-07-13,No
L185,U39020,C34,Action,17,2020-05-14,Yes
L186,U46110,C590,Sci-Fi,151,2021-05-06,No
L187,U27551,C153,Comedy,51,2021-04-16,Yes
L188,U43320,C669,Comedy,150,2022-01-17,No
L189,U8159,C486,Biography,90,2023-06-09,Yes
L190,U12499,C444,Comedy,110,2021-11-09,No
L191,U30697,C172,Horror,206,2021-09-24,Yes
L192,U22696,C354,Biography,32,2020-07-12,No
L193,U36959,C660,Drama,8,2021-09-07,Yes
L194,U30038,C344,Comedy,166,2022-06-19,No
L195,U3984,C138,Drama,13,2023-05-20,Yes
L196,U34796,C796,Horror,134,2022-01-16,No
L197,U1951,C611,Action,15,2022-10-09,Yes
L198,U32979,C754,Biography,211,2020-08-19,No
L199,U11869,C865,Horror,137,2022-08-23,Yes
L200,U19814,C845,Comedy,79,2022-10-09,No
L201,U42112,C616,Comedy,157,2019-07-01,Yes
L202,U15089,C902,Drama,217,2022-12-28,No
L203,U32195,C275,Sci-Fi,59,2020-09-05,Yes
L204,U25340,C46,Action,198,2022-04-15,No
L205,U48730,C808,Drama,74,2022-02-19,Yes
L206,U45820,C764,Biography,141,2024-06-27,No
L207,U49851,C590,Sci-Fi,118,2021-08-18,Yes
L208,U3682,C315,Action,200,2023-02-19,No
L209,U46390,C1,Horror,62,2021-09-20,Yes
L210,U40090,C938,Drama,58,2020-08-27,No
L211,U47239,C981,Horror,152,2020-05-11,Yes
L212,U42104,C886,Comedy,83,2020-08-24,No
L213,U32708,C293,Sci-Fi,82,2024-08-23,Yes
L214,U29057,C87,Sci-Fi,33,2020-02-07,No
L215,U18758,C760,Comedy,61,2022-06-14,Yes
L216,U43286,C407,Action,167,2022-06-27,No
L217,U10880,C919,Action,53,2021-07-25,Yes
L218,U32027,C307,Drama,8,2021-12-27,No
L219,U3750,C122,Sci-Fi,37,2021-11-25,Yes
L220,U8129,C415,Sci-Fi,225,2021-11-02,No
L221,U29627,C150,Biography,148,2020-03-27,Yes
L222,U8974,C13,Biography,219,2022-12-05,No
L223,U38652,C236,Comedy,11,2021-03-18,Yes
L224,U9414,C746,Horror,61,2021-07-15,No
L225,U39724,C465,Biography,113,2022-12-11,Yes
L226,U29108,C658,Comedy,82,2022-03-05,No
L227,U24464,C6,Sci-Fi,28,2021-12-24,Yes
L228,U32751,C854,Action,95,2019-08-08,No
L229,U34902,C80,Action,53,2020-07-01,Yes
L230,U23331,C878,Sci-Fi,176,2020-10-11,No
L231,U40071,C119,Action,167,2019-09-02,Yes
L232,U767,C396,Biography,228,2022-05-06,No
L233,U17660,C969,Action,58,2021-08-13,Yes
L234,U47500,C466,Comedy,85,2021-02-25,No
L235,U5419,C111,Action,195,2022-09-29,Yes
L236,U37533,C899,Horror,133,2021-12-10,No
L237,U17259,C883,Sci-Fi,80,2022-08-24,Yes
L238,U19005,C918,Horror,181,2021-01-02,No
L239,U11135,C59,Drama,21,2021-11-08,Yes
L240,U22881,C809,Sci-Fi,4,2021-07-13,No
L241,U38010,C510,Drama,137,2023-07-31,Yes
L242,U1311,C154,Sci-Fi,205,2022-12-06,No
L243,U32743,C140,Biography,133,2022-05-30,Yes
L244,U30414,C717,Drama,167,2021-09-20,No
L245,U30878,C841,Horror,53,2019-05-18,Yes
L246,U49846,C412,Drama,225,2022-12-04,No
L247,U38352,C777,Biography,40,2021-08-23,Yes
L248,U38808,C111,Action,105,2022-09-29,No
L249,U10347,C18,Horror,84,2023-10-26,Yes
L250,U47905,C273,Drama,80,2021-05-30,No
L251,U28387,C263,Biography,125,2020-07-12,Yes
L252,U3277,C562,Action,172,2020-01-30,No
L253,U31534,C412,Drama,202,2020-12-30,Yes
L254,U3074,C186,Horror,163,2019-03-24,No
L255,U14759,C797,Drama,1,2021-02-02,Yes
L256,U22990,C865,Horror,188,2022-03-14,No
L257,U49616,C469,Horror,228,2023-02-16,Yes
L258,U43095,C914,Comedy,77,2022-06-17,No
L259,U4715,C633,Horror,229,2020-01-02,Yes
L260,U40625,C282,Action,207,2023-01-18,No
L261,U4758,C877,Action,22,2019-06-27,Yes
L262,U45050,C793,Drama,91,2022-02-27,No
L263,U1543,C587,Drama,147,2023-01-30,Yes
L264,U12291,C699,Comedy,201,2021-12-19,No
L265,U10964,C974,Horror,174,2022-12-08,Yes
L266,U3307,C796,Horror,237,2022-01-16,No
L267,U20300,C534,Drama,147,2019-02-18,Yes
L268,U39571,C219,Horror,5,2023-03-21,No
L269,U26519,C881,Sci-Fi,41,2019-07-13,Yes
L270,U39718,C939,Sci-Fi,18,2023-07-24,No
L271,U41748,C604,Action,127,2023-11-29,Yes
L272,U10611,C415,Sci-Fi,29,2020-03-29,No
L273,U47026,C796,Horror,221,2022-01-16,Yes
L274,U34269,C729,Action,31,2019-12-20,No
L275,U41841,C744,Comedy,124,2022-12-07,Yes
L276,U3820,C251,Biography,193,2021-12-22,No
L277,U39437,C995,Drama,173,2021-07-05,Yes
L278,U5559,C961,Action,96,2020-07-01,No
L279,U37236,C949,Biography,84,2021-04-15,Yes
L280,U16044,C460,Horror,160,2021-05-03,No
L281,U26937,C579,Biography,179,2021-06-18,Yes
L282,U48303,C383,Action,238,2019-03-05,No
L283,U29564,C979,Drama,93,2023-10-02,Yes
L284,U36858,C977,Action,230,2020-10-26,No
L285,U40034,C739,Action,150,2020-06-15,Yes
L286,U39369,C440,Horror,113,2021-10-12,No
L287,U12500,C610,Horror,168,2019-05-22,Yes
L288,U2016,C899,Horror,179,2022-05-04,No
L289,U18828,C313,Horror,165,2019-06-08,Yes
L290,U4793,C564,Sci-Fi,158,2019-12-14,No
L291,U25992,C495,Horror,90,2022-04-01,Yes
L292,U22027,C313,Horror,204,2019-07-12,No
L293,U35032,C706,Biography,157,2020-05-08,Yes
L294,U47677,C247,Action,117,2019-05-12,No
L295,U1492,C527,Biography,98,2019-06-25,Yes
L296,U46346,C253,Comedy,82,2022-10-18,No
L297,U53,C848,Action,84,2020-04-11,Yes
L298,U20890,C430,Horror,219,2020-07-28,No
L299,U40473,C218,Biography,203,2022-09-18,Yes
L300,U39692,C988,Comedy,235,2019-04-01,No
L301,U37200,C699,Comedy,82,2019-04-04,Yes
L302,U39133,C602,Biography,39,2021-04-21,No
L303,U6074,C926,Comedy,180,2019-04-12,Yes
L304,U14692,C839,Horror,136,2020-08-25,No
L305,U21909,C957,Comedy,69,2022-07-12,Yes
L306,U12031,C343,Horror,185,2020-02-06,No
L307,U34349,C982,Horror,110,2020-11-02,Yes
L308,U34186,C698,Action,209,2019-11-19,No
L309,U33772,C59,Drama,185,2022-06-05,Yes
L310,U43680,C960,Biography,53,2020-09-29,No
L311,U37240,C669,Comedy,26,2022-07-23,Yes
L312,U17304,C498,Biography,86,2021-03-05,No
L313,U18121,C261,Horror,173,2021-03-14,Yes
L314,U34342,C302,Horror,34,2020-02-02,No
L315,U24141,C728,Drama,178,2020-09-05,Yes
L316,U5744,C932,Drama,182,2019-04-17,No
L317,U22924,C566,Action,45,2020-04-08,Yes
L318,U36825,C780,Sci-Fi,150,2022-04-20,No
L319,U12739,C587,Drama,106,2022-12-12,Yes
L320,U20546,C824,Biography,27,2023-02-08,No
L321,U8826,C538,Action,17,2021-07-30,Yes
L322,U13497,C138,Drama,64,2023-05-20,No
L323,U32637,C767,Comedy,211,2021-05-22,Yes
L324,U15099,C706,Biography,205,2022-02-20,No
L325,U26336,C598,Horror,136,2021-05-25,Yes
L326,U9852,C514,Comedy,62,2021-05-20,No
L327,U47231,C4,Sci-Fi,71,2021-12-08,Yes
L328,U7126,C284,Biography,22,2020-04-21,No
L329,U14330,C203,Sci-Fi,160,2020-10-09,Yes
L330,U7093,C924,Biography,230,2019-02-15,No
L331,U30272,C446,Horror,112,2022-07-07,Yes
L332,U952,C722,Comedy,53,2020-02-23,No
L333,U48337,C446,Horror,138,2020-04-26,Yes
L334,U39259,C353,Comedy,48,2021-11-19,No
L335,U33601,C944,Drama,89,2019-11-20,Yes
L336,U41482,C853,Drama,191,2019-05-18,No
L337,U5392,C996,Action,34,2020-02-14,Yes
L338,U10126,C279,Drama,171,2022-10-29,No
L339,U21667,C823,Action,98,2022-11-04,Yes
L340,U23013,C709,Sci-Fi,109,2021-10-31,No
L341,U14637,C948,Sci-Fi,138,2019-07-20,Yes
L342,U21284,C585,Biography,208,2022-03-06,No
L343,U26581,C738,Comedy,190,2020-08-28,Yes
L344,U9264,C56,Action,152,2023-01-24,No
L345,U29294,C163,Biography,66,2022-11-14,Yes
L346,U25629,C524,Action,65,2022-04-03,No
L347,U44736,C190,Drama,58,2019-03-01,Yes
L348,U5790,C929,Comedy,180,2021-09-12,No
L349,U36173,C844,Sci-Fi,143,2022-04-21,Yes
L350,U49800,C586,Action,140,2021-02-17,No
L351,U2293,C990,Comedy,160,2019-06-23,Yes
L352,U12367,C517,Comedy,124,2020-01-06,No
L353,U13445,C663,Biography,85,2020-10-31,Yes
L354,U35042,C863,Biography,47,2019-08-23,No
L355,U12206,C551,Biography,125,2021-06-22,Yes
L356,U20842,C131,Action,5,2020-02-04,No
L357,U6047,C533,Biography,99,2021-05-08,Yes
L358,U28427,C806,Biography,112,2019-11-21,No
L359,U29867,C146,Action,124,2021-10-24,Yes
L360,U13450,C424,Drama,71,2022-09-02,No
L361,U10799,C189,Action,79,2021-02-06,Yes
L362,U15392,C43,Sci-Fi,122,2022-03-23,No
L363,U37976,C396,Biography,27,2021-01-07,Yes
L364,U7680,C431,Drama,37,2021-01-31,No
L365,U94,C121,Sci-Fi,29,2021-01-21,Yes
L366,U20171,C280,Comedy,137,2020-10-18,No
L367,U3741,C126,Horror,162,2021-06-03,Yes
L368,U36386,C529,Horror,31,2019-03-22,No
L369,U13815,C34,Action,66,2021-12-11,Yes
L370,U12839,C180,Sci-Fi,117,2022-09-10,No
L371,U3161,C368,Comedy,114,2023-02-17,Yes
L372,U46014,C890,Biography,144,2022-09-05,No
L373,U14068,C925,Drama,231,2022-04-10,Yes
L374,U404,C498,Biography,177,2019-12-24,No
L375,U47804,C743,Biography,194,2020-08-10,Yes
L376,U41608,C549,Comedy,42,2022-09-06,No
L377,U26245,C92,Biography,234,2020-06-27,Yes
L378,U44681,C695,Sci-Fi,41,2020-03-20,No
L379,U29228,C676,Action,68,2022-05-11,Yes
L380,U4536,C784,Action,198,2021-11-08,No
L381,U32961,C852,Comedy,44,2019-09-05,Yes
L382,U41521,C706,Biography,148,2022-08-06,No
L383,U14995,C880,Action,10,2019-09-30,Yes
L384,U7764,C113,Action,59,2024-01-13,No
L385,U44489,C529,Horror,156,2020-03-16,Yes
L386,U14363,C545,Drama,29,2020-12-11,No
L387,U38092,C350,Sci-Fi,1,2023-02-06,Yes
L388,U3952,C821,Horror,95,2020-10-10,No
L389,U40458,C309,Comedy,44,2024-05-27,Yes
L390,U20078,C932,Drama,178,2019-07-20,No
L391,U18492,C657,Comedy,107,2020-11-30,Yes
L392,U13654,C635,Horror,72,2023-01-26,No
L393,U12780,C903,Drama,28,2019-05-25,Yes
L394,U36575,C200,Horror,132,2019-08-01,No
L395,U41566,C682,Biography,61,2020-01-14,Yes
L396,U44433,C817,Sci-Fi,154,2023-01-03,No
L397,U39048,C545,Drama,76,2022-02-25,Yes
L398,U49747,C328,Horror,161,2022-03-18,No
L399,U43138,C52,Sci-Fi,189,2019-10-30,Yes
L400,U26883,C722,Comedy,212,2020-08-19,No
L401,U28967,C775,Biography,217,2022-01-14,Yes
L402,U32011,C46,Action,207,2022-10-05,No
L403,U15037,C454,Drama,11,2022-12-25,Yes
L404,U10196,C570,Sci-Fi,54,2023-04-14,No
L405,U13784,C598,Horror,8,2023-01-01,Yes
L406,U5886,C629,Drama,139,2019-11-17,No
L407,U48223,C692,Sci-Fi,207,2021-07-28,Yes
L408,U18174,C23,Biography,221,2019-12-21,No
L409,U40131,C91,Drama,28,2021-11-13,Yes
L410,U13849,C167,Sci-Fi,27,2022-12-27,No
L411,U22762,C800,Biography,66,2023-01-08,Yes
L412,U26417,C950,Horror,19,2019-07-26,No
L413,U35207,C250,Drama,56,2019-04-07,Yes
L414,U20076,C803,Biography,188,2019-11-22,No
L415,U35256,C812,Action,186,2022-09-11,Yes
L416,U32784,C621,Biography,114,2021-12-07,No
L417,U29820,C879,Comedy,26,2022-02-05,Yes
L418,U532,C692,Sci-Fi,26,2022-10-30,No
L419,U24659,C798,Sci-Fi,8,2019-09-08,Yes
L420,U6146,C456,Comedy,105,2020-12-19,No
L421,U9441,C655,Horror,10,2019-10-19,Yes
L422,U35415,C199,Horror,24,2019-06-20,No
L423,U16872,C574,Biography,3,2022-06-28,Yes
L424,U12987,C374,Drama,86,2020-05-05,No
L425,U11132,C30,Action,47,2021-02-09,Yes
L426,U1913,C143,Horror,2,2022-10-20,No
L427,U6974,C145,Sci-Fi,149,2022-09-10,Yes
L428,U37448,C731,Comedy,14,2020-10-03,No
L429,U45970,C542,Comedy,91,2022-02-25,Yes
L430,U25905,C774,Comedy,6,2020-03-15,No
L431,U35488,C238,Comedy,34,2019-01-22,Yes
L432,U28038,C807,Drama,172,2022-11-28,No
L433,U2434,C215,Sci-Fi,238,2020-01-08,Yes
L434,U38338,C485,Comedy,166,2024-06-17,No
L435,U41719,C507,Comedy,69,2020-03-02,Yes
L436,U23444,C814,Action,188,2021-06-17,No
L437,U26099,C162,Biography,240,2021-02-24,Yes
L438,U45754,C205,Horror,30,2022-09-19,No
L439,U42853,C901,Drama,117,2020-04-11,Yes
L440,U30593,C456,Comedy,233,2021-01-28,No
L441,U24944,C216,Biography,30,2023-04-11,Yes
L442,U14742,C818,Drama,71,2019-03-10,No
L443,U42247,C390,Action,43,2023-12-02,Yes
L444,U465,C102,Biography,3,2019-10-11,No
L445,U17605,C384,Comedy,217,2021-04-19,Yes
L446,U36899,C946,Biography,38,2019-07-31,No
L447,U14134,C784,Action,43,2019-03-19,Yes
L448,U21013,C780,Sci-Fi,182,2021-04-02,No
L449,U23959,C203,Sci-Fi,97,2019-02-17,Yes
L450,U34318,C890,Biography,144,2021-10-03,No
L451,U44861,C636,Drama,223,2020-04-09,Yes
L452,U21992,C304,Action,193,2020-03-11,No
L453,U43604,C604,Action,70,2023-11-29,Yes
L454,U35591,C573,Horror,175,2023-01-26,No
L455,U32639,C274,Drama,70,2022-02-14,Yes
L456,U13501,C24,Sci-Fi,170,2022-11-02,No
L457,U27974,C748,Horror,157,2021-01-19,Yes
L458,U48833,C894,Action,66,2019-09-06,No
L459,U8836,C893,Biography,207,2021-10-13,Yes
L460,U8602,C878,Sci-Fi,156,2019-10-18,No
L461,U26110,C370,Biography,111,2021-06-23,Yes
L462,U31343,C945,Sci-Fi,149,2019-09-20,No
L463,U43850,C210,Action,34,2019-10-24,Yes
L464,U10519,C664,Comedy,61,2019-06-06,No
L465,U22446,C605,Comedy,201,2021-04-20,Yes
L466,U5169,C219,Horror,19,2023-03-21,No
L467,U39726,C643,Biography,212,2022-05-03,Yes
L468,U26595,C695,Sci-Fi,33,2022-05-29,No
L469,U37327,C892,Action,79,2020-09-28,Yes
L470,U44072,C33,Biography,5,2021-12-04,No
L471,U39862,C125,Comedy,193,2021-11-14,Yes
L472,U4436,C304,Action,184,2019-04-10,No
L473,U27483,C553,Action,47,2020-12-15,Yes
L474,U10151,C111,Action,127,2022-09-29,No
L475,U3357,C655,Horror,77,2020-04-15,Yes
L476,U20515,C961,Action,239,2020-12-31,No
L477,U4157,C844,Sci-Fi,103,2020-12-13,Yes
L478,U47757,C461,Biography,69,2020-06-13,No
L479,U47894,C429,Action,120,2021-12-31,Yes
L480,U37835,C170,Sci-Fi,180,2019-04-05,No
L481,U31182,C817,Sci-Fi,102,2022-10-15,Yes
L482,U48227,C429,Action,165,2022-04-29,No
L483,U10376,C942,Horror,110,2024-03-26,Yes
L484,U37242,C621,Biography,83,2022-07-22,No
L485,U23949,C109,Biography,154,2021-08-19,Yes
L486,U31419,C88,Sci-Fi,3,2019-06-14,No
L487,U8976,C735,Comedy,104,2022-05-22,Yes
L488,U16442,C564,Sci-Fi,204,2022-12-15,No
L489,U42902,C873,Sci-Fi,65,2019-10-02,Yes
L490,U49095,C937,Sci-Fi,15,2020-10-27,No
L491,U13744,C587,Drama,114,2019-08-17,Yes
L492,U41864,C768,Drama,21,2019-12-29,No
L493,U11980,C401,Horror,233,2020-06-09,Yes
L494,U767,C185,Comedy,122,2022-05-06,No
L495,U45462,C821,Horror,33,2019-03-10,Yes
L496,U31119,C914,Comedy,224,2020-08-23,No
L497,U43221,C663,Biography,223,2022-09-03,Yes
L498,U14808,C826,Drama,174,2021-02-28,No
L499,U24050,C19,Action,233,2022-08-17,Yes
L500,U38020,C808,Drama,167,2020-04-21,No
L501,U13696,C887,Sci-Fi,21,2022-10-31,Yes
L502,U36304,C35,Biography,233,2021-11-01,No
L503,U28498,C942,Horror,120,2024-03-26,Yes
L504,U7851,C298,Horror,123,2020-12-20,No
L505,U19826,C499,Drama,48,2020-09-24,Yes
L506,U28469,C411,Biography,43,2020-05-31,No
L507,U10039,C598,Horror,94,2021-12-15,Yes
L508,U17909,C379,Comedy,231,2021-03-22,No
L509,U27205,C265,Horror,125,2022-07-29,Yes
L510,U36234,C19,Action,224,2020-08-21,No
L511,U19076,C464,Drama,238,2020-01-30,Yes
L512,U17202,C574,Biography,51,2021-05-06,No
L513,U41110,C204,Biography,64,2021-03-11,Yes
L514,U29057,C180,Sci-Fi,143,2020-02-07,No
L515,U14229,C607,Sci-Fi,229,2021-06-07,Yes
L516,U29658,C281,Sci-Fi,95,2023-12-31,No
L517,U44027,C913,Biography,164,2021-10-01,Yes
L518,U34980,C500,Sci-Fi,198,2021-03-28,No
L519,U18809,C43,Sci-Fi,182,2022-03-23,Yes
L520,U37148,C490,Comedy,27,2020-10-31,No
L521,U31718,C264,Action,131,2021-02-09,Yes
L522,U49461,C657,Comedy,105,2020-04-25,No
L523,U25997,C990,Comedy,225,2022-06-10,Yes
L524,U12251,C922,Sci-Fi,74,2021-09-04,No
